start_number,winner,minimax_player,minimax_bot_wins,turns,max_depth,avg_minimax_time,game_number
17,0,0,True,5,17,0.00022792816162109375,220
21,0,0,True,7,21,0.000335693359375,221
20,1,1,True,8,19,0.0002587437629699707,222
21,1,1,True,10,10,6.699562072753906e-05,223
18,0,0,True,9,18,0.0002799034118652344,224
21,1,1,True,6,10,6.651878356933594e-05,225
26,0,0,True,11,26,0.0007775624593098959,226
15,0,0,True,7,15,0.0001391768455505371,227
27,0,0,True,7,27,0.0007520318031311035,228
27,1,1,True,6,13,0.0001079241434733073,229
23,0,0,True,9,23,0.0003870487213134766,230
20,1,1,True,10,19,0.0003183841705322266,231
26,0,0,True,7,26,0.0006926059722900391,232
30,1,1,True,8,15,0.00019568204879760742,233
18,1,1,True,6,9,5.666414896647135e-05,234
21,1,1,True,6,20,0.0003733634948730469,235
30,0,0,True,9,30,0.0014901161193847656,236
16,1,1,True,6,8,3.66369883219401e-05,237
22,1,1,True,8,11,8.487701416015625e-05,238
22,0,0,True,7,22,0.000630497932434082,239
28,1,1,True,8,14,0.00016236305236816406,240
18,1,1,True,6,17,0.00022180875142415365,241
23,1,1,True,6,11,7.541974385579427e-05,242
15,1,1,True,8,14,0.00017219781875610352,243
21,1,1,True,10,20,0.00025048255920410154,244
19,0,0,True,7,19,0.000387728214263916,245
17,0,0,True,5,17,0.00021187464396158853,246
16,0,0,True,5,16,0.00019137064615885416,247
30,1,1,True,8,15,0.0001946091651916504,248
20,0,0,True,7,20,0.00029593706130981445,249
29,1,1,True,8,28,0.0008647441864013672,250
18,0,0,True,7,18,0.0013498663902282715,251
30,0,0,True,9,30,0.0009508609771728515,252
30,1,1,True,8,29,0.0009698271751403809,253
30,0,0,True,9,30,0.0014634132385253906,254
26,0,0,True,7,26,0.0006726384162902832,255
15,0,0,True,7,15,0.00013172626495361328,256
29,0,0,True,7,29,0.0008807182312011719,257
22,0,0,True,11,22,0.0002879699071248372,258
19,0,0,True,7,19,0.00025457143783569336,259
18,0,0,True,9,18,0.00018835067749023438,260
26,1,1,True,12,25,0.0008342663447062174,261
24,0,0,True,7,24,0.0005125999450683594,262
25,1,1,True,6,12,8.551279703776042e-05,263
27,1,1,True,6,13,0.00011213620503743489,264
30,1,1,True,8,29,0.0009478330612182617,265
30,1,0,False,8,30,0.0011044740676879883,266
28,1,1,True,8,27,0.0007460117340087891,267
26,1,1,True,10,25,0.0007885456085205078,268
29,0,0,True,7,29,0.0009238123893737793,269
30,1,1,True,8,15,0.00019884109497070312,270
29,1,1,True,8,28,0.0008094310760498047,271
21,1,1,True,6,10,5.992253621419271e-05,272
23,1,1,True,8,22,0.0007181763648986816,273
18,1,1,True,8,17,0.00018543004989624023,274
27,1,1,True,8,26,0.0007126331329345703,275
22,1,1,True,8,11,8.285045623779297e-05,276
21,0,0,True,5,21,0.0004085699717203776,277
16,0,0,True,7,16,0.00016236305236816406,278
26,0,0,True,7,26,0.0006936192512512207,279
24,1,1,True,6,12,9.258588155110677e-05,280
25,1,1,True,10,24,0.0007037639617919922,281
25,0,0,True,7,25,0.0005925297737121582,282
27,0,0,True,7,27,0.0007604360580444336,283
24,0,0,True,11,24,0.00037459532419840497,284
15,0,0,True,7,15,0.00018793344497680664,285
19,0,0,True,7,19,0.0003845691680908203,286
17,0,0,True,5,17,0.00022252400716145834,287
17,1,1,True,6,8,3.6716461181640625e-05,288
17,0,0,True,5,17,0.0002224445343017578,289
27,0,0,True,7,27,0.0007597208023071289,290
22,1,1,True,8,21,0.00033152103424072266,291
18,0,0,True,9,18,0.0003042697906494141,292
28,0,0,True,7,28,0.000835716724395752,293
15,1,1,True,6,7,3.441174825032552e-05,294
24,0,0,True,9,24,0.0008545875549316406,295
19,0,0,True,7,19,0.0002548098564147949,296
16,0,1,False,7,8,4.99884287516276e-05,297
19,1,1,True,8,9,6.008148193359375e-05,298
19,1,1,True,8,18,0.00021594762802124023,299
26,0,0,True,7,26,0.0006629228591918945,300
28,1,1,True,8,27,0.0007575750350952148,301
16,1,1,True,8,8,4.51207160949707e-05,302
19,0,0,True,9,19,0.0003180503845214844,303
18,0,0,True,7,18,0.00032830238342285156,304
25,0,0,True,7,25,0.0005865097045898438,305
15,0,0,True,7,15,0.00013440847396850586,306
16,1,1,True,8,15,0.00013685226440429688,307
24,0,0,True,13,24,0.000507490975516183,308
20,1,1,True,10,19,0.00021748542785644532,309
20,1,1,True,10,19,0.00032286643981933595,310
29,1,1,True,8,28,0.0008478164672851562,311
16,0,0,True,7,16,0.00016313791275024414,312
19,0,0,True,9,19,0.0003188610076904297,313
19,0,0,True,7,19,0.0003814697265625,314
20,0,0,True,5,20,0.0003562768300374349,315
15,0,0,True,7,15,0.00013905763626098633,316
25,0,0,True,11,25,0.0008631547292073568,317
19,1,1,True,8,9,5.525350570678711e-05,318
25,1,1,True,10,24,0.00068817138671875,319
30,1,1,True,8,15,0.00019681453704833984,320
23,0,0,True,11,23,0.0005077123641967773,321
22,0,0,True,9,22,0.0005276679992675781,322
21,1,1,True,6,10,6.000200907389323e-05,323
24,0,0,True,7,24,0.000526130199432373,324
29,1,1,True,8,28,0.0008527636528015137,325
25,1,1,True,6,12,9.528795878092448e-05,326
24,0,0,True,7,24,0.0005141496658325195,327
15,0,0,True,7,15,0.00019055604934692383,328
27,1,1,True,12,26,0.001119693120320638,329
20,1,1,True,6,10,7.017453511555989e-05,330
26,1,1,True,8,25,0.000586390495300293,331
26,0,0,True,7,26,0.0006653070449829102,332
22,0,0,True,7,22,0.0006083250045776367,333
17,1,1,True,6,16,0.00018771489461263022,334
28,1,1,True,16,27,0.0009683072566986084,335
17,1,1,True,6,16,0.00018819173177083334,336
24,0,0,True,11,24,0.0006060202916463217,337
30,1,1,True,8,29,0.0009707212448120117,338
27,0,0,True,7,27,0.0007752776145935059,339
26,0,0,True,11,26,0.001000205675760905,340
29,1,1,True,8,14,0.00012356042861938477,341
27,1,1,True,8,26,0.0006699562072753906,342
30,1,1,True,8,15,0.00013631582260131836,343
28,1,1,True,8,14,0.00016671419143676758,344
25,1,1,True,10,24,0.0009066581726074219,345
19,0,0,True,9,19,0.00022420883178710937,346
27,1,1,True,8,26,0.0006950497627258301,347
28,0,0,True,7,28,0.0008792281150817871,348
25,0,0,True,13,25,0.0007431166512625558,349
17,0,0,True,7,17,0.00018024444580078125,350
30,0,0,True,9,30,0.001417255401611328,351
21,1,1,True,8,10,6.508827209472656e-05,352
20,1,1,True,8,10,7.30752944946289e-05,353
16,0,0,True,5,16,0.0001815160115559896,354
21,0,0,True,5,21,0.0004162788391113281,355
15,0,0,True,7,15,0.00013208389282226562,356
25,1,1,True,10,24,0.00043230056762695314,357
26,0,0,True,7,26,0.0006676316261291504,358
21,0,0,True,5,21,0.00040721893310546875,359
20,0,0,True,5,20,0.00036342938741048175,360
29,0,0,True,7,29,0.000889122486114502,361
30,0,0,True,9,30,0.0008808612823486328,362
29,1,1,True,8,28,0.0007831454277038574,363
29,1,1,True,8,14,0.00015789270401000977,364
30,1,1,True,8,29,0.0009818673133850098,365
21,0,1,False,9,10,8.487701416015625e-05,366
30,1,0,False,8,30,0.0010895729064941406,367
24,1,1,True,12,23,0.0003323952356974284,368
16,1,1,True,8,15,0.00021207332611083984,369
30,1,1,True,8,15,0.0001964569091796875,370
28,0,0,True,7,28,0.0008678436279296875,371
28,0,0,True,7,28,0.0008749961853027344,372
16,1,1,True,6,8,3.6716461181640625e-05,373
27,1,1,True,6,13,0.00011658668518066406,374
30,0,0,True,9,30,0.0009744644165039062,375
22,0,0,True,7,22,0.0003933906555175781,376
16,1,1,True,8,15,0.00014770030975341797,377
29,1,1,True,8,14,0.00016170740127563477,378
19,0,0,True,7,19,0.00027382373809814453,379
22,1,1,True,8,21,0.0003311038017272949,380
23,1,1,True,10,11,8.721351623535157e-05,381
24,0,0,True,9,24,0.00043320655822753906,382
22,0,0,True,9,22,0.00032958984375,383
26,1,1,True,8,25,0.0005866885185241699,384
23,0,0,True,11,23,0.00033160050710042316,385
24,0,0,True,11,24,0.0003768603006998698,386
19,0,0,True,7,19,0.0004011392593383789,387
28,0,0,True,7,28,0.0007966756820678711,388
16,0,0,True,7,16,0.00016039609909057617,389
16,0,0,True,7,16,0.00016373395919799805,390
25,0,0,True,9,25,0.0010012149810791015,391
16,1,1,True,8,15,0.0001938939094543457,392
23,1,1,True,6,11,8.296966552734375e-05,393
17,0,0,True,7,17,0.0001838207244873047,394
26,0,0,True,7,26,0.000711977481842041,395
21,1,1,True,8,20,0.00036394596099853516,396
20,1,1,True,8,10,7.325410842895508e-05,397
30,1,1,True,8,15,0.00019437074661254883,398
18,0,0,True,9,18,0.0002899646759033203,399
21,1,1,True,8,20,0.00030815601348876953,400
24,0,0,True,9,24,0.0009135246276855469,401
16,0,0,True,5,16,0.00019367535909016928,402
15,1,1,True,6,7,4.140535990397135e-05,403
30,1,1,True,8,15,0.00014787912368774414,404
18,1,1,True,6,17,0.0002281665802001953,405
26,1,1,True,6,13,0.00011491775512695312,406
26,0,0,True,7,26,0.0006923675537109375,407
24,0,0,True,7,24,0.000519096851348877,408
30,0,0,True,9,30,0.0014593124389648438,409
29,0,0,True,7,29,0.000956416130065918,410
20,0,0,True,7,20,0.0003094673156738281,411
21,1,1,True,8,10,6.526708602905273e-05,412
29,0,1,False,7,14,0.00014797846476236978,413
29,0,0,True,7,29,0.0009139180183410645,414
23,0,0,True,9,23,0.0005892276763916016,415
16,1,1,True,8,15,0.00018614530563354492,416
26,1,0,False,14,26,0.0008841582706996373,417
28,1,1,True,8,27,0.0007598996162414551,418
29,0,0,True,7,29,0.0009519457817077637,419
27,0,0,True,7,27,0.0007609724998474121,420
24,1,0,False,12,24,0.0005931456883748373,421
20,0,0,True,5,20,0.0003554026285807292,422
19,1,1,True,6,9,4.847844441731771e-05,423
28,0,0,True,7,28,0.0007916688919067383,424
23,0,0,True,11,23,0.0004961887995402018,425
23,1,1,True,6,11,7.74065653483073e-05,426
18,1,1,True,6,17,0.00021831194559733072,427
19,1,1,True,8,9,6.020069122314453e-05,428
23,1,1,True,10,11,8.654594421386719e-05,429
30,0,0,True,9,30,0.0014334678649902343,430
16,1,1,True,6,8,3.647804260253906e-05,431
29,0,0,True,7,29,0.0009049773216247559,432
18,0,0,True,7,18,0.00022405385971069336,433
16,0,0,True,5,16,0.00019772847493489584,434
15,1,1,True,6,7,2.8212865193684895e-05,435
26,0,0,True,7,26,0.0006773471832275391,436
18,1,1,True,8,17,0.00017827749252319336,437
28,0,0,True,7,28,0.000812828540802002,438
19,0,0,True,9,19,0.0002254962921142578,439
20,0,0,True,5,20,0.00036136309305826825,440
29,0,0,True,7,29,0.000933527946472168,441
25,0,0,True,11,25,0.0006680091222127279,442
20,0,0,True,7,20,0.0002986788749694824,443
27,1,1,True,8,26,0.0006600022315979004,444
16,0,0,True,5,16,0.00019391377766927084,445
18,0,0,True,7,18,0.00032699108123779297,446
26,0,0,True,15,26,0.0007589459419250488,447
15,0,0,True,7,15,0.00014394521713256836,448
16,1,1,True,8,15,0.00018799304962158203,449
15,0,0,True,7,15,0.00019466876983642578,450
21,0,0,True,5,21,0.0004070599873860677,451
26,1,1,True,10,25,0.0010107040405273437,452
17,1,1,True,6,16,0.0001866022745768229,453
19,1,1,True,8,18,0.00021576881408691406,454
29,0,0,True,7,29,0.0009556412696838379,455
19,1,1,True,8,18,0.0003255605697631836,456
20,0,0,True,5,20,0.00036263465881347656,457
26,1,1,True,10,25,0.000984334945678711,458
20,0,0,True,7,20,0.00030350685119628906,459
27,1,1,True,6,13,0.00010307629903157552,460
29,1,1,True,8,28,0.0008631348609924316,461
23,0,0,True,11,23,0.0005278587341308594,462
19,0,0,True,7,19,0.0003980398178100586,463
19,0,0,True,9,19,0.00023522377014160157,464
25,0,0,True,13,25,0.0007463863917759486,465
19,0,0,True,9,19,0.0003233432769775391,466
18,0,0,True,9,18,0.0002870082855224609,467
22,1,1,True,10,21,0.00029687881469726564,468
21,1,1,True,8,20,0.0003249049186706543,469
15,1,1,True,8,14,0.0001125335693359375,470
15,0,0,True,7,15,0.00014775991439819336,471
18,1,1,True,8,17,0.0002124309539794922,472
26,1,1,True,6,13,0.00010999043782552083,473
15,0,1,False,7,14,0.00014559427897135416,474
15,0,0,True,7,15,0.00020331144332885742,475
27,1,1,True,12,26,0.0010234912236531575,476
23,1,1,True,6,11,8.797645568847656e-05,477
30,1,1,True,8,29,0.0010059475898742676,478
30,1,1,True,8,15,0.00013655424118041992,479
20,1,1,True,8,19,0.0003978610038757324,480
29,0,0,True,7,29,0.0009733438491821289,481
26,1,1,True,12,25,0.0006744066874186198,482
20,1,1,True,10,19,0.0003173828125,483
24,1,1,True,8,23,0.000491023063659668,484
28,0,0,True,7,28,0.0008632540702819824,485
30,1,1,True,8,15,0.001376509666442871,486
21,1,1,True,10,20,0.0002605915069580078,487
30,1,1,True,8,29,0.001007676124572754,488
18,0,0,True,7,18,0.00021660327911376953,489
30,0,0,True,9,30,0.0009508609771728515,490
24,0,0,True,13,24,0.000637054443359375,491
19,0,0,True,7,19,0.0003839731216430664,492
18,0,0,True,9,18,0.00028481483459472654,493
30,0,0,True,9,30,0.0009243011474609375,494
30,1,1,True,8,15,0.0001322031021118164,495
25,0,0,True,9,25,0.0009830474853515625,496
27,0,0,True,7,27,0.000774085521697998,497
24,0,0,True,9,24,0.0007094383239746094,498
18,0,0,True,9,18,0.0003009796142578125,499
21,0,0,True,5,21,0.0004143714904785156,500
16,0,0,True,7,16,0.00016260147094726562,501
21,1,1,True,6,20,0.000356594721476237,502
30,1,1,True,8,15,0.0001372694969177246,503
16,1,1,True,8,8,4.4405460357666016e-05,504
20,0,1,False,9,10,7.522106170654297e-05,505
24,0,0,True,11,24,0.00038063526153564453,506
25,0,0,True,9,25,0.0007821083068847656,507
20,1,1,True,6,10,6.731351216634114e-05,508
27,1,1,True,6,13,0.00010609626770019531,509
30,1,1,True,8,15,0.00019061565399169922,510
23,1,1,True,8,11,8.320808410644531e-05,511
25,0,0,True,7,25,0.0005947351455688477,512
15,0,0,True,7,15,0.00019431114196777344,513
29,0,1,False,7,14,0.00014964739481608072,514
19,1,1,True,8,9,4.9948692321777344e-05,515
19,1,1,True,8,18,0.0003992915153503418,516
25,1,1,True,8,24,0.0005269646644592285,517
22,1,1,True,6,11,7.573763529459636e-05,518
16,1,1,True,6,8,3.66369883219401e-05,519
15,1,1,True,6,7,3.77496083577474e-05,520
18,1,1,True,6,9,5.555152893066406e-05,521
16,0,0,True,7,16,0.00015974044799804688,522
26,1,1,True,6,13,0.00011984507242838542,523
15,1,1,True,6,7,3.488858540852865e-05,524
27,1,1,True,6,13,0.00010315577189127605,525
26,0,0,True,9,26,0.0009485244750976563,526
16,0,0,True,7,16,0.00015664100646972656,527
17,0,1,False,7,8,5.6743621826171875e-05,528
18,0,0,True,9,18,0.0002788066864013672,529
30,1,1,True,8,15,0.00014007091522216797,530
28,0,0,True,7,28,0.0008538365364074707,531
24,0,0,True,9,24,0.0004530429840087891,532
19,1,1,True,10,18,0.00028429031372070315,533
22,1,1,True,6,11,7.867813110351562e-05,534
23,1,1,True,8,22,0.0006136894226074219,535
18,0,0,True,7,18,0.0003349184989929199,536
25,1,1,True,12,24,0.00038611888885498047,537
23,1,1,True,10,22,0.0003662109375,538
18,0,0,True,7,18,0.00023120641708374023,539
19,1,1,True,6,9,4.839897155761719e-05,540
30,1,1,True,8,15,0.00012743473052978516,541
26,0,0,True,7,26,0.000696718692779541,542
23,0,0,True,7,23,0.00046324729919433594,543
17,0,0,True,7,17,0.00019544363021850586,544
24,1,1,True,6,12,9.07580057779948e-05,545
25,1,1,True,10,24,0.0008785247802734375,546
21,0,0,True,7,21,0.0003387928009033203,547
23,1,1,True,6,11,7.589658101399739e-05,548
27,0,0,True,7,27,0.0007783770561218262,549
26,0,0,True,15,26,0.0008748173713684082,550
24,1,1,True,6,12,9.314219156901042e-05,551
22,1,1,True,8,11,8.851289749145508e-05,552
28,1,1,True,12,27,0.0011615753173828125,553
22,0,0,True,7,22,0.0006279349327087402,554
26,1,1,True,6,13,0.00011928876241048177,555
20,0,0,True,5,20,0.00038321812947591144,556
28,0,1,False,7,14,0.00014956792195638022,557
22,0,0,True,7,22,0.0006641149520874023,558
25,0,0,True,9,25,0.0010128498077392578,559
26,1,1,True,8,25,0.0006015896797180176,560
19,1,1,True,8,18,0.00022804737091064453,561
15,1,1,True,8,14,0.0001601576805114746,562
30,0,0,True,9,30,0.001572418212890625,563
29,0,0,True,7,29,0.0009633898735046387,564
26,0,0,True,13,26,0.0006974084036690849,565
27,0,0,True,7,27,0.0007979273796081543,566
16,1,1,True,8,8,4.2319297790527344e-05,567
16,0,0,True,7,16,0.0001767873764038086,568
27,1,1,True,12,26,0.0007935365041097006,569
28,0,0,True,7,28,0.0008587241172790527,570
27,0,0,True,7,27,0.0007756352424621582,571
19,1,1,True,10,18,0.0002807140350341797,572
20,0,0,True,9,20,0.0002603054046630859,573
29,0,1,False,7,14,0.00014225641886393228,574
